Country,Average_IQ,Continent,Literacy_Percentage,Cumulative_Nobel_Prize,HDI,Average_School_Education,GNI,Population
Egypt,76.32,Africa,76.0,4,0.731,9.6,11732.0,112716599
India,76.24,Asia,72.0,12,0.633,6.7,6590.0,1428627663
Algeria,76.0,Africa,80.0,2,0.745,8.1,10800.0,45606481
Kenya,75.2,Africa,78.0,1,0.575,6.7,4474.0,55100587
Angola,75.1,Africa,71.0,0,0.586,5.4,5466.0,36684203
Jamaica,75.08,Central America,89.0,0,0.709,9.2,8834.0,2825544
Tanzania,74.95,Africa,80.0,1,0.549,6.4,2664.0,67438106
Syria,74.41,Asia,86.0,0,0.577,5.1,4192.0,23227014
Bangladesh,74.33,Asia,61.0,2,0.661,7.4,5472.0,172954319
Zimbabwe,74.01,Africa,87.0,0,0.593,8.7,3810.0,16665409
Burkina Faso,73.8,Africa,38.0,0,0.449,2.1,2118.0,23251485
Saint Lucia,73.68,Central America,90.0,2,0.715,8.5,12048.0,180.251
Mozambique,72.5,Africa,59.0,0,0.446,3.2,1198.0,33897354
Burundi,72.09,Africa,85.0,0,0.426,3.1,732.0,13238559
Niger,70.82,Africa,19.0,0,0.4,2.1,1240.0,27202843
Antigua and Barbuda,70.48,Central America,99.0,0,0.788,9.3,16792.0,94.298
Rwanda,69.95,Africa,71.0,0,0.534,4.4,2210.0,14094683
Benin,69.71,Africa,38.0,0,0.525,4.3,3409.0,13712828
Malawi,69.7,Africa,66.0,0,0.512,4.5,1466.0,20931751
El Salvador,69.63,Central America,88.0,0,0.675,7.2,8296.0,6364943
Botswana,69.45,Africa,88.0,0,0.693,10.3,16198.0,2675353
Lesotho,68.87,Africa,79.0,0,0.514,6.0,2700.0,2330318
South Africa,68.87,Africa,95.0,11,0.713,11.4,12948.0,60414495
Eswatini,68.87,Africa,87.0,0,0.597,5.6,7679.0,1210822
Eritrea,68.77,Africa,74.0,0,0.492,4.9,1729.0,3748902
Saint Helena,68.74,Africa,97.0,0,0.0,0.0,0.0,6.115
